Start,End,SleepQuality,SleepHours,WakeUp,SleepNotes,HeartRate,ActivitySteps
3/26/2022 21:23,3/27/2022 5:26,92%,8:03,:),Drank tea:Worked out,54,0
3/30/2022 22:30,3/31/2022 5:28,82%,6:57,:),Drank coffee:Worked out,64,0
3/31/2022 22:17,4/1/2022 5:50,84%,7:32,:),Drank coffee:Drank tea:Worked out,55,0
4/4/2022 23:13,4/5/2022 7:31,95%,8:17,:),Drank coffee:Drank tea,,0
4/6/2022 21:22,4/7/2022 6:15,79%,8:53,:),Drank coffee:Drank tea,55,0
4/7/2022 21:17,4/8/2022 6:18,100%,9:01,:),Drank tea,51,0
4/8/2022 22:09,4/9/2022 5:02,81%,6:52,:),Drank tea,52,0
4/9/2022 21:56,4/10/2022 5:23,80%,7:27,:),Drank coffee:Drank tea:Worked out,,0
4/10/2022 23:51,4/11/2022 7:41,85%,7:50,:),Drank tea:Worked out,,0
4/11/2022 23:16,4/12/2022 6:53,97%,7:36,:),Drank coffee:Drank tea,52,0
4/12/2022 22:04,4/13/2022 5:41,84%,7:36,:),Drank coffee:Drank tea,58,0
4/13/2022 22:19,4/14/2022 5:45,78%,7:25,:),Drank tea:Worked out,57,0
4/15/2022 0:28,4/15/2022 7:30,81%,7:01,:),Drank coffee:Drank tea:Worked out,63,0
4/16/2022 23:20,4/17/2022 6:20,82%,6:59,:),Drank coffee:Drank tea,58,0
4/17/2022 23:50,4/18/2022 7:22,59%,7:32,:),Drank coffee:Drank tea:Stressful day:Worked out,53,0
4/20/2022 22:37,4/21/2022 6:18,77%,7:40,:),Drank coffee:Drank tea,58,0
4/22/2022 21:31,4/23/2022 5:11,77%,7:39,:),Drank coffee:Drank tea:Stressful day,67,0
4/23/2022 21:46,4/24/2022 5:13,87%,7:26,:),Drank coffee:Drank tea:Stressful day:Worked out,,0
4/25/2022 22:53,4/26/2022 7:53,100%,9:00,:),Drank coffee:Drank tea,61,0
4/26/2022 21:51,4/27/2022 4:59,70%,7:07,:),Ate late:Drank coffee:Drank tea,64,0
4/27/2022 21:35,4/28/2022 4:57,77%,7:21,:),Drank tea:Worked out,59,0
4/28/2022 21:41,4/29/2022 5:00,53%,7:18,:),Drank coffee:Worked out,59,0
4/30/2022 23:13,5/1/2022 6:06,77%,6:52,:),Drank coffee:Drank tea:Stressful day,60,0
5/1/2022 22:20,5/2/2022 6:07,65%,7:46,:),Drank coffee:Worked out,91,0
5/5/2022 22:23,5/6/2022 6:18,83%,7:54,:),Drank coffee:Drank tea:Worked out,62,0
5/6/2022 21:47,5/7/2022 5:21,50%,7:34,:),Ate late:Drank coffee:Drank tea:Worked out,59,0
5/7/2022 21:22,5/8/2022 4:57,89%,7:34,:),Drank tea:Worked out,54,0
5/9/2022 1:58,5/9/2022 7:01,61%,5:03,:),Drank coffee:Drank tea:Stressful day:Worked out,75,0
5/10/2022 22:11,5/11/2022 5:00,66%,6:48,:),Drank coffee:Drank tea:Worked out,50,0
5/11/2022 21:57,5/12/2022 5:00,75%,7:03,:),Drank tea:Worked out,55,0
5/12/2022 22:04,5/13/2022 4:52,72%,6:47,:),Drank tea:Worked out,59,0
5/14/2022 22:49,5/15/2022 6:17,79%,7:28,:),Drank coffee:Drank tea,51,0
5/17/2022 21:03,5/18/2022 7:49,93%,10:46,:),Drank tea:Stressful day,59,0
5/18/2022 22:39,5/19/2022 6:20,91%,7:41,:),,59,0
5/20/2022 22:22,5/21/2022 5:25,59%,7:02,:),Drank tea:Worked out,62,0
5/21/2022 22:47,5/22/2022 5:25,74%,6:38,:),Drank coffee:Drank tea:Worked out,60,0
5/24/2022 0:01,5/24/2022 7:35,73%,7:33,:),Drank coffee:Worked out,,0
5/24/2022 22:58,5/25/2022 6:45,67%,7:47,:),Drank coffee:Drank tea,61,0
5/25/2022 22:05,5/26/2022 5:29,85%,7:23,:),Drank coffee:Drank tea,,0
5/26/2022 22:18,5/27/2022 5:14,69%,6:56,:),Drank coffee:Drank tea:Worked out,,0
5/28/2022 23:10,5/29/2022 7:00,81%,7:49,:),Drank coffee:Drank tea:Worked out,52,0
5/31/2022 23:16,6/1/2022 6:20,72%,7:03,:),Drank coffee,76,0
6/1/2022 22:20,6/2/2022 6:19,76%,7:59,:),Drank coffee:Drank tea:Worked out,57,0
6/3/2022 22:19,6/4/2022 5:20,78%,7:00,:),Drank coffee:Drank tea,64,0
6/4/2022 22:20,6/5/2022 3:45,70%,5:25,:(,Drank coffee:Drank tea:Worked out,,0
6/5/2022 3:45,6/5/2022 5:41,23%,1:55,:),,57,0
6/7/2022 22:01,6/8/2022 5:40,75%,7:39,:),Drank coffee,58,0
6/8/2022 21:57,6/9/2022 5:16,69%,7:19,:),Drank coffee:Drank tea:Worked out,,0
6/9/2022 21:07,6/10/2022 5:01,83%,7:54,:),Drank coffee:Drank tea:Worked out,,0
6/10/2022 21:12,6/11/2022 6:17,92%,9:04,:),Drank tea:Stressful day:Worked out,68,0
6/11/2022 22:54,6/12/2022 6:19,74%,7:25,:),Drank coffee:Worked out,,0
6/14/2022 22:38,6/15/2022 6:12,81%,7:34,:),Drank coffee:Drank tea,,0
6/15/2022 22:31,6/16/2022 6:20,88%,7:48,:),Drank coffee:Drank tea:Worked out,64,0
6/16/2022 22:21,6/17/2022 6:20,69%,7:59,:),Drank coffee:Drank tea:Stressful day:Worked out,,0
6/17/2022 21:28,6/18/2022 5:00,63%,7:31,:),Drank coffee,,0
6/18/2022 22:26,6/19/2022 4:46,71%,6:20,:),Drank coffee:Worked out,,0
6/22/2022 21:54,6/23/2022 5:07,78%,7:13,:),Drank coffee:Worked out,,0
6/23/2022 22:09,6/24/2022 4:57,76%,6:48,:),Drank coffee:Drank tea:Worked out,,0
6/24/2022 4:58,6/24/2022 5:45,10%,0:46,:),,,0
6/24/2022 22:37,6/25/2022 6:20,82%,7:43,:),Drank coffee:Stressful day:Worked out,58,0
7/11/2022 22:29,7/12/2022 8:00,98%,9:31,:),Drank coffee:Stressful day,69,0
7/19/2022 21:38,7/20/2022 6:09,69%,8:31,:),Drank coffee,74,0
7/20/2022 22:01,7/21/2022 5:04,68%,7:03,:),Drank coffee:Drank tea:Worked out,,0
7/21/2022 22:02,7/22/2022 5:45,79%,7:42,:),Drank coffee:Drank tea:Worked out,67,0
7/23/2022 22:29,7/24/2022 6:44,86%,8:14,:),Drank coffee:Stressful day:Worked out,,0
7/26/2022 22:29,7/27/2022 6:20,93%,7:50,:),Drank coffee:Worked out,58,0
7/28/2022 21:32,7/29/2022 5:39,68%,8:07,:),Drank coffee:Drank tea:Stressful day:Worked out,58,0
7/29/2022 23:06,7/30/2022 5:40,71%,6:34,:),Drank coffee:Drank tea:Worked out,61,0
7/30/2022 21:40,7/31/2022 5:40,88%,8:00,:),Drank coffee:Worked out,64,0
8/1/2022 1:41,8/1/2022 8:31,77%,6:49,:),Drank coffee:Drank tea:Worked out,64,0
8/1/2022 22:55,8/2/2022 8:02,97%,9:06,:),Drank coffee:Worked out,,0
8/2/2022 23:45,8/3/2022 0:00,3%,0:15,:|,Drank coffee:Worked out,,0
8/3/2022 0:26,8/3/2022 7:25,88%,6:59,:),Drank coffee:Worked out,68,0
8/3/2022 21:46,8/4/2022 5:00,71%,7:14,:),Drank coffee:Stressful day:Worked out,,0
8/4/2022 21:17,8/5/2022 4:55,81%,7:38,:),Drank coffee:Drank tea:Worked out,,0
8/5/2022 21:35,8/6/2022 4:55,78%,7:19,:),Drank coffee:Drank tea:Worked out,57,0
8/8/2022 0:19,8/8/2022 7:56,97%,7:37,:),Drank coffee:Worked out,54,0
8/10/2022 0:01,8/10/2022 5:03,65%,5:02,:),Drank coffee,,0
8/10/2022 21:11,8/11/2022 6:09,72%,8:58,:),Drank coffee:Drank tea:Worked out,50,0
8/15/2022 23:41,8/16/2022 7:27,84%,7:46,:),Drank coffee,,0
8/16/2022 21:44,8/17/2022 4:45,58%,7:00,:),Drank coffee,56,0
8/17/2022 22:13,8/18/2022 5:27,85%,7:14,:),Drank coffee:Drank tea:Worked out,,0
8/18/2022 22:33,8/19/2022 6:45,90%,8:12,:),Drank coffee:Drank tea:Worked out,57,0
8/19/2022 21:48,8/20/2022 6:01,79%,8:12,:),Drank coffee:Worked out,51,0
